Cod;Nombres;Sexo
502;Alix;F
503;Aliza;F
504;Alize;F
505;Alkun;M
506;Allan;M
507;Allard;M
508;Allegra;F
509;Allen;M
510;Allison;F
511;Alma;F
512;Almandos;M
513;Almanzor;M
514;Almaquio;M
515;Almendra;F
516;Almiro;M
517;Almudena;F
518;Alodia;F
519;Alodie;F
520;Alois;M
521;Aloisio;M
522;Aloiz;M
523;Alojz;M
524;Alomai;F
525;Alon;M
526;Alona;F
527;Alondra;F
528;Alonso;M
529;Aloysia;F
530;Alphonse;M
531;Alpiniano;M
532;Alsacia;F
533;Alston;M
534;Altagracia;F
535;Altair;F
536;Altea;F
537;Alter;M
538;Althea;F
539;Alton;M
540;Aluel;M
541;Aluen;A
542;Aluhe;A
543;Alula;M
544;Alulay;F
545;Alumine;F
546;Alun;F
547;Aluné;F
548;Aluney;A
549;Alva;A
550;Alvand;M
551;Alvar;M
552;Alvaro;M
553;Alvesio;M
554;Alvia;F
555;Alvin;M
556;Alvis;M
557;Alvita;F
558;Alys;F
559;Alysa;F
560;Alyson;F
561;Alyssa;F
562;Alzena;F
563;Amabel;F
564;Amabelio;M
565;Amable;F
566;Amada;F
567;Amadeo;M
568;Amadeus;M
569;Amadis;M
570;Amado;M
571;Amador;M
572;Amaia;F
573;Amaicha;F
574;Amaike;A
575;Amal;F
576;Amali;F
577;Amalia;F
578;Amalio;M
579;Amaltea;F
580;Amambay;F
581;Aman;M
582;Amana;F
583;Amancai;F
584;Amancay;F
585;Amancio;M
586;Amanda;F
587;Amandine;F
588;Amandio;M
589;Amando;M
590;Amani;A
591;Amankaya;A
592;Amantze;F
593;Amara;F
594;Amarande;F
595;Amaranta;F
596;Amarante;F
597;Amaranto;M
598;Amarilis;F
599;Amarino;M
600;Amarire;F
601;Amaris;F
602;Amaro;M
603;Amaru;A
604;Amaryllis;F
605;Amata;F
606;Amatista;F
607;Amauri;M
608;Amaury;F
609;Amauta;F
610;Amaya;F
611;Ambar;F
612;Ambay;A
613;Amber;F
614;Ambico;M
615;Ambika;F
616;Ambrosia;F
617;Ambrosio;M
618;Amedeo;M
619;Ameerah;F
620;Ameghino;M
621;Amel;M
622;Amelberga;F
623;Amelia;F
624;Amelida;F
625;Amelie;F
626;Amelin;F
627;Amelina;F
628;Amelio;M
629;Amena;F
630;America;F
631;Americo;M
632;Amethyst;F
633;Ami;F
634;Amideo;M
635;Amiel;M
636;Amijay;F
637;Amilcar;M
638;Amin;M
639;Amina;F
640;Aminda;F
641;Amine;F
642;Aminta;F
643;Amir;M
644;Amira;F
645;Amiri;M
646;Amissa;F
647;Amit;M
648;Amitai;F
649;Amittai;M
650;Amity;F
651;Ammi;F
652;Ammia;F
653;Ammiano;M
654;Ammiel;M
655;Ammon;M
656;Ammonaria;F
657;Ammonio;M
658;Amnedis;F
659;Amneris;F
660;Amon;M
661;Amor;A
662;Amorina;F
663;Amorino;M
664;Amory;F
665;Amos;M
666;Amparo;F
667;Ampelio;M
668;Ampelo;M
669;Ampliado;M
670;Amuyen;M
671;Amy;F
672;Amye;F
673;An;F
674;Ana;F
675;Ana de las Ermitas;F
676;Anaba;F
677;Anabel;F
678;Anabela;F
679;Anabeli;F
680;Anabella;F
681;Anacario;M
682;Anacarla;F
683;Anacelis;F
684;Anaclara;F
685;Anacleto;M
686;Anacreonte;M
687;Anadina;F
688;Anael;A
689;Anaelle;F
690;Anahi;F
691;Anahiancy;F
